Type_of_Security,spread,predicted_cpr_mean,predicted_cpr_p25,predicted_cpr_p75,dCPR_dspread,n_obs
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.342,0.2538141310791993,0.12678546818023495,0.39222484629372056,,7465
15yr TBA Eligible,-1.330993670886076,0.25123223216795204,0.12979148123557493,0.382022177837249,-0.2253763102430243,7465
15yr TBA Eligible,-1.2791835443037973,0.24180086622125804,0.14752488135525432,0.33893088500183133,-0.14453879967978978,7465
15yr TBA Eligible,-1.2273734177215192,0.23625508515303104,0.1655018427587085,0.3049834910447746,-0.07600540330787409,7465
15yr TBA Eligible,-1.1755632911392406,0.23392516708862193,0.19108065866952906,0.2780864902307889,-0.01903666413469063,7465
15yr TBA Eligible,-1.123753164556962,0.23428250119598573,0.20529691874048295,0.25378463274985386,0.028692851040762246,7465
15yr TBA Eligible,-1.0719430379746835,0.23689832757747867,0.22090380719336222,0.24548671502054864,0.06883086436193908,7465
15yr TBA Eligible,-1.020132911392405,0.24141477278670515,0.222425793527381,0.2571552455735371,0.10255180163852229,7465
15yr TBA Eligible,-0.9683227848101268,0.2475247712257437,0.21553806970292522,0.27584573716913363,0.13070526974763652,7465
15yr TBA Eligible,-0.9165126582278482,0.25495848592789694,0.21351876208787202,0.29373300417226966,0.15392492493736842,7465
15yr TBA Eligible,-0.8647025316455696,0.26347451091608926,0.21180394672470904,0.30877223064329495,0.17270843867468377,7465
15yr TBA Eligible,-0.8128924050632911,0.27285457806702307,0.21305141134293493,0.3252590091577856,0.18747567411477606,7465
15yr TBA Eligible,-0.7610822784810125,0.2829007877300584,0.21414462881841345,0.3417957624996748,0.1986099294636321,7465
15yr TBA Eligible,-0.7092721518987344,0.29343458923903937,0.21608159413609718,0.35900755471502954,0.2064857227354775,7465
15yr TBA Eligible,-0.6574620253164558,0.30429689059477505,0.21884303584562836,0.37710711631807614,0.21148577091908916,7465
15yr TBA Eligible,-0.6056518987341772,0.31534879836237695,0.22241730975510743,0.39310951639056624,0.21400933798301613,7465
15yr TBA Eligible,-0.5538417721518987,0.32647259237615445,0.22679937295637664,0.4090802456852005,0.21447384067732278,7465
15yr TBA Eligible,-0.5020316455696201,0.337572632030536,0.23179792200874738,0.4240272055852756,0.21331140812728533,7465
15yr TBA Eligible,-0.450221518987342,0.34857597448919186,0.23756116823780982,0.43912055264824223,0.21096192711489392,7465
15yr TBA Eligible,-0.3984113924050634,0.35943256032626403,0.24428782772059066,0.4535168321570304,0.20786393408609483,7465
15yr TBA Eligible,-0.34660126582278483,0.3701148879629738,0.2519931865415881,0.4665287416904418,0.2044445224015905,7465
15yr TBA Eligible,-0.29479113924050626,0.3806171534956238,0.26069727286722744,0.4783257205931979,0.20110921869248255,7465
15yr TBA Eligible,-0.2429810126582277,0.3909538761176151,0.2703900438750906,0.49038805086335513,0.19823255392628658,7465
15yr TBA Eligible,-0.19117088607594956,0.4011580609189223,0.2806645013714637,0.5012148045039022,0.19614982596280184,7465
15yr TBA Eligible,-0.139360759493671,0.4112789707420644,0.29184584568971994,0.5118027101441824,0.195150334992384,7465
15yr TBA Eligible,-0.08755063291139242,0.4213795880359813,0.30395217128516006,0.521713672746138,0.19547218379452902,7465
15yr TBA Eligible,-0.03574050632911385,0.43153384791348237,0.31699992444123026,0.528388160659099,0.1972985807414256,7465
15yr TBA Eligible,0.016069620253164718,0.4418237169214156,0.33100283723215274,0.5359411453647822,0.20075547075241928,7465
15yr TBA Eligible,0.06787974683544284,0.4523361806170178,0.34597076873814636,0.5442130984756322,0.2059102501952923,7465
15yr TBA Eligible,0.11968987341772142,0.463160189175829,0.3619084502539005,0.551940015954755,0.21277129505295278,7465
15yr TBA Eligible,0.17149999999999999,0.4743835960765554,0.37773191099516046,0.559155896633956,0.21662573788355288,7465
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8130000000000006,0.2565760084818308,0.03493020683388304,0.5121179547760479,,4732
20yr TBA Eligible,-0.8096075949367081,0.2542323351546552,0.03559131692558726,0.5073811289813879,-0.683543371455441,4732
20yr TBA Eligible,-0.7642341772151893,0.22765722441880887,0.0442181425061583,0.43204173885401653,-0.5036498156471043,4732
20yr TBA Eligible,-0.71886075949367,0.208527708213211,0.05576392255998153,0.3743395567342489,-0.3571444345435486,4732
20yr TBA Eligible,-0.6734873417721512,0.1952474971878885,0.06806713620474136,0.328992622812041,-0.24078682305924115,4732
20yr TBA Eligible,-0.6281139240506324,0.18667706600420222,0.08247583964786642,0.29485285869037536,-0.1461135773076525,4732
20yr TBA Eligible,-0.5827405063291131,0.18198815243195737,0.09803132746729615,0.2705774093524349,-0.06736682013561501,4732
20yr TBA Eligible,-0.5373670886075943,0.18056374026303482,0.1175511648687233,0.25291918837981875,-0.0006558820402142729,4732
20yr TBA Eligible,-0.49199367088607504,0.18192863321238398,0.13411368541477175,0.22872907717065294,0.056613123265064846,4732
20yr TBA Eligible,-0.4466202531645562,0.18570120204388607,0.15044327622494302,0.21632740663937167,0.10613744349102028,4732
20yr TBA Eligible,-0.4012468354430374,0.19156027033120832,0.16157525604482692,0.20830992191290532,0.14900758681920045,4732
20yr TBA Eligible,-0.35587341772151815,0.19922316900473228,0.17676665875639985,0.2145497923797035,0.18592330769128962,4732
20yr TBA Eligible,-0.31049999999999933,0.20843222213929513,0.1837794168744633,0.2304880415109345,0.202961416551951,4732
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.3240000000000003,0.36428366582555594,0.3326123923957036,0.39658825392846486,,14544
30yr TBA Eligible,-1.2963227848101266,0.36430744819848543,0.31711890574597223,0.4146078017963656,0.03434577463809907,14544
30yr TBA Eligible,-1.2310379746835443,0.3717064028556555,0.277382099363932,0.45650428604664395,0.1789691786162284,14544
30yr TBA Eligible,-1.1657531645569619,0.3876753858874272,0.24647101807725447,0.5072268921136769,0.2963289331205856,14544
30yr TBA Eligible,-1.10046835443038,0.41039795912323557,0.2270157318345789,0.5478631879492823,0.387481668167839,14544
30yr TBA Eligible,-1.0351835443037976,0.43826872015516477,0.2091102738969064,0.5915924936812922,0.454753352454385,14544
30yr TBA Eligible,-0.9698987341772152,0.4697749316620582,0.19682740288348155,0.631235925799567,0.49922504085355746,14544
30yr TBA Eligible,-0.9046139240506328,0.5034523441602844,0.1882205450180363,0.6718032449730238,0.5216863223385326,14544
30yr TBA Eligible,-0.8393291139240504,0.5378913166610705,0.18234073068706946,0.7119991240352674,0.5232578732199067,14544
30yr TBA Eligible,-0.7740443037974685,0.5717739259610859,0.17868699969297852,0.7504264368098146,0.5057403673439147,14544
30yr TBA Eligible,-0.7087594936708861,0.6039256443718614,0.17796862704775318,0.7867311451445924,0.47173324329763044,14544
30yr TBA Eligible,-0.6434746835443037,0.6333679563992513,0.18030686443493704,0.8206014300153774,0.42456971940245847,14544
30yr TBA Eligible,-0.5781898734177213,0.6593615514052331,0.18396937107599542,0.85177316991637,0.36812118318467757,14544
30yr TBA Eligible,-0.5129050632911394,0.6814333994948201,0.1896819456504495,0.8800337806786462,0.3065272893164144,14544
30yr TBA Eligible,-0.447620253164557,0.6993847031685093,0.19748071856189597,0.9052244028611711,0.2439049209507198,14544
30yr TBA Eligible,-0.3823354430379746,0.7132799724012336,0.2068764731695122,0.9272404928220568,0.18407999018625087,14544
30yr TBA Eligible,-0.31705063291139224,0.7234199575833343,0.21926532103935248,0.9460309335508343,0.13037303007168433,14544
30yr TBA Eligible,-0.25176582278480986,0.7303027294289479,0.23442237037497593,0.9615958292609084,0.08545529895548576,14544
30yr TBA Eligible,-0.18648101265822792,0.7345778235165726,0.2522986114616099,0.973983182576621,0.05127894870790328,14544
30yr TBA Eligible,-0.12119620253164554,0.7369982022887205,0.2733099032520059,0.9832846748131896,0.02907423291677702,14544
30yr TBA Eligible,-0.055911392405063154,0.7383740350676682,0.29719600195083906,0.9896307790117409,0.019399505389613658,14544
30yr TBA Eligible,0.009373417721519228,0.7395311883405415,0.3246314748664214,0.9939381976386108,0.022225995022320255,14544
30yr TBA Eligible,0.07465822784810117,0.7412760747974811,0.35532278450242094,1.001102864649983,0.0370386890446488,14544
30yr TBA Eligible,0.139943037974684,0.7443673159037764,0.39152981305230483,0.9989225493190701,0.06293647478346198,14544
30yr TBA Eligible,0.20522784810126593,0.7494936664100306,0.43356916837493653,0.993434775031532,0.09871821429583516,14544
30yr TBA Eligible,0.27051265822784787,0.7572569156564539,0.4730074755163516,0.9929893297229819,0.14294589971732297,14544
30yr TBA Eligible,0.3357974683544307,0.7681580582528684,0.5215925405246291,0.9904956367516871,0.1939808187614558,14544
30yr TBA Eligible,0.40108227848101263,0.7825849174985351,0.5805356480807156,0.9665036988811604,0.24999328523148012,14544
30yr TBA Eligible,0.46636708860759546,0.800799586571384,0.6488647840293016,0.9437505341765656,0.30895067862102366,14544
30yr TBA Eligible,0.5316518987341774,0.8229244902830396,0.7108079829572511,0.9406149340576486,0.36859215019136116,14544
30yr TBA Eligible,0.5969367088607593,0.8489265236501672,0.7705879241306834,0.9346193494290778,0.426401311652004,14544
30yr TBA Eligible,0.6622215189873422,0.8785995476208933,0.7888965730046826,0.9498574710766761,0.47959041866341856,14544
30yr TBA Eligible,0.7275063291139241,0.9115464624921059,0.8094894578274614,1.0281452278444791,0.5251107831695343,14544
30yr TBA Eligible,0.7927911392405069,0.9471630631701814,0.7782769578389415,1.069085765765243,0.559704048337319,14544
30yr TBA Eligible,0.8580759493670889,0.9846268075376686,0.7956570826946785,1.1125944425586454,0.5800070822061594,14544
30yr TBA Eligible,0.9233607594936708,1.0228943676379851,0.7829246536240841,1.195494133705255,0.5827191260124351,14544
30yr TBA Eligible,0.9886455696202536,1.0607122225353682,0.781253780422364,1.2533573749459097,0.5648331575056362,14544
30yr TBA Eligible,1.0539303797468356,1.096644418519892,0.7812986570868818,1.3169555581393322,0.5240769683451028,14544
30yr TBA Eligible,1.1192151898734175,1.1291407532756177,0.7828219175159745,1.36885011158433,0.46323146461689824,14544
30yr TBA Eligible,1.1844999999999999,1.1571283749442378,0.7771593842540558,1.4149574544470855,0.42870036099292025,14544
