epoch,train_loss,val_loss,train_rmse,val_rmse,best_val_rmse_so_far,best_epoch_so_far
1,10.726718025749452,45.072980629348464,3.27516686990899,6.713641383731221,6.713641383731221,1
2,1.9645395749595218,23.35924173654959,1.4016203390931232,4.833139945889172,4.833139945889172,2
3,1.1044529298367252,10.986747188901129,1.0509295551257112,3.314626251766725,3.314626251766725,3
4,0.8464978574711634,6.943660815590232,0.9200531818711152,2.6350826961577947,2.6350826961577947,4
5,0.7344437228469805,5.367462306471577,0.8569969211420659,2.3167784327534595,2.3167784327534595,5
6,0.6599750639316747,4.596250236727586,0.812388493229486,2.143886712661746,2.143886712661746,6
7,0.6330423861827912,4.069922560436317,0.7956396082289966,2.017404907408604,2.017404907408604,7
8,0.5955143372094984,3.891395182832246,0.771695754303144,1.9726619535116112,1.9726619535116112,8
9,0.5817776244759224,3.707252443347626,0.7627434853710141,1.92542266615609,1.92542266615609,9
10,0.5993284466958209,3.8544871581552407,0.7741630620843524,1.963284787837781,1.92542266615609,9
11,0.5885613646890075,3.940017977514148,0.7671775314026132,1.9849478525931477,1.92542266615609,9
12,0.5864082108306691,3.8309231990003436,0.765772949920973,1.9572744311926071,1.92542266615609,9
13,0.5709904579036901,3.6065753648584975,0.7556391055945226,1.8990985663884057,1.8990985663884057,13
14,0.5578917402655065,3.8350372309562606,0.7469215087715084,1.9583251085956745,1.8990985663884057,13
15,0.5709930125348106,3.5998340713962715,0.7556407959704204,1.8973228695707727,1.8973228695707727,15
16,0.60931512128406,3.4302162210481666,0.7805863957846434,1.8520842910213797,1.8520842910213797,16
17,0.6134223583633261,3.314197814579175,0.7832128435893567,1.8204938381052473,1.8204938381052473,17
18,0.5924402998035867,3.3077381803681383,0.7697014354953398,1.8187188293873626,1.8187188293873626,18
19,0.6129081003615027,3.038914921730702,0.7828844744670204,1.74324838211045,1.74324838211045,19
20,0.6487847697856214,2.7616074952293905,0.8054717684597154,1.661808501371139,1.661808501371139,20
21,0.6727262882585942,2.8173908584680456,0.8201989321247585,1.6785085220123386,1.661808501371139,20
22,0.6634831795675369,2.6237893679555233,0.8145447683016181,1.6198115223554632,1.6198115223554632,22
23,0.6934771066787205,2.620059293760667,0.8327527284126547,1.6186597214240759,1.6186597214240759,23
24,0.6914992976901309,2.413877730367213,0.8315643677371769,1.553665900497019,1.553665900497019,24
25,0.6835642614815722,2.259379657745219,0.8267794515356391,1.5031233009122102,1.5031233009122102,25
26,0.7078041069057256,2.325851894783049,0.8413109454332124,1.525074389917767,1.5031233009122102,25
27,0.6663239479928867,2.2156619615662763,0.8162866824791929,1.4885099803381487,1.4885099803381487,27
28,0.7342573379993762,2.008744905622521,0.856888171233199,1.4173019810973668,1.4173019810973668,28
29,0.7935748402215026,1.9777649907014545,0.8908281765983285,1.4063303277329458,1.4063303277329458,29
30,0.8664554579763918,1.9126187058732822,0.9308358920757148,1.3829745861270488,1.3829745861270488,30
31,0.849518177278641,1.9322845449719797,0.92169310362975,1.3900663814983727,1.3829745861270488,30
32,0.9455391274717457,1.8655217656952674,0.9723883624723949,1.3658410470092293,1.3658410470092293,32
33,0.9794006856942857,1.9281995535016332,0.989646747932961,1.3885962528761315,1.3658410470092293,32
34,0.9717668898683726,2.0378823657287057,0.9857823744967104,1.4275441729518235,1.3658410470092293,32
35,1.04429705930601,1.9492312390939097,1.0219085376421952,1.396148716682399,1.3658410470092293,32
36,1.0663618157429735,1.94353255175082,1.0326479631234322,1.3941063631412132,1.3658410470092293,32
37,1.1439128220836332,2.01298126260411,1.0695386024279971,1.4187957085514848,1.3658410470092293,32
38,1.1762553100955249,1.9633641348529889,1.084553046234035,1.4012009616229175,1.3658410470092293,32
39,1.095447481370978,1.8721099154282905,1.0466362698526064,1.3682506771159628,1.3658410470092293,32
40,1.204972031181853,2.1294400066745047,1.097712180483506,1.4592600887691354,1.3658410470092293,32
41,1.2499351739203872,1.9575537749022913,1.1180049972698634,1.3991260754136101,1.3658410470092293,32
42,1.252810297273227,2.0608909201823424,1.1192900862927477,1.4355803426427733,1.3658410470092293,32
43,1.1506523257111458,2.1558022320254873,1.0726846347884107,1.4682650414776914,1.3658410470092293,32
44,1.286212741407451,2.0377437615189944,1.134113196029149,1.4274956257442593,1.3658410470092293,32
45,1.288290444543953,2.157374927257202,1.1350288298294247,1.4688005062830016,1.3658410470092293,32
46,1.3952370204285125,2.1243721436073186,1.1812015155884759,1.457522604835794,1.3658410470092293,32
47,1.3200940950471252,2.1188834419732054,1.148953478190969,1.4556384997564489,1.3658410470092293,32
48,1.4268618760079466,2.0821458672793067,1.194513238104939,1.4429642640340428,1.3658410470092293,32
49,1.4167197057878846,2.07826603696027,1.1902603521028015,1.4416192413256248,1.3658410470092293,32
50,1.3811319133096565,2.1246487738351214,1.1752156879950406,1.4576174991523398,1.3658410470092293,32
51,1.3202432447668222,1.9379921639659414,1.1490183831283214,1.3921178699973438,1.3658410470092293,32
52,1.427015700298837,1.929667126456455,1.1945776242249129,1.3891245899689686,1.3658410470092293,32
53,1.4886867998107116,1.919345958635718,1.2201175352443352,1.3854046191043676,1.3658410470092293,32
54,1.4720245994316896,1.915348724393779,1.2132702087464646,1.3839612438192692,1.3658410470092293,32
55,1.4945195946342609,1.827141411303215,1.2225054579159396,1.3517179481323813,1.3517179481323813,55
56,1.516769854807594,1.8499910010927498,1.2315721070272718,1.3601437428054248,1.3517179481323813,55
57,1.3720043359223466,1.7689984856118057,1.1713258880099708,1.3300370241507586,1.3300370241507586,57
58,1.4785802732709468,1.8067140795151713,1.2159688619660236,1.3441406472222954,1.3300370241507586,57
59,1.569280042558025,1.931926294999749,1.2527090813744526,1.3899375147824988,1.3300370241507586,57
60,1.4623395401690078,1.839863059250996,1.209272318449822,1.356415518656063,1.3300370241507586,57
61,1.3787617174915803,1.7675616503384806,1.1742068461270272,1.3294967658247538,1.3294967658247538,61
62,1.384509588887274,1.7815213503112108,1.1766518554301753,1.3347364347732518,1.3294967658247538,61
63,1.4617303914440611,1.8010704605944305,1.2090204263965358,1.3420396643148929,1.3294967658247538,61
64,1.4290326443680832,1.8653263064813346,1.1954215341744865,1.3657694924405561,1.3294967658247538,61
65,1.549355057682476,1.8631106798354196,1.2447309177820225,1.3649581238394897,1.3294967658247538,61
66,1.5081650376107416,1.9154550100655212,1.2280737101700132,1.3839996423646652,1.3294967658247538,61
67,1.4952345953500343,1.858662532197127,1.2227978554732726,1.3633277420331207,1.3294967658247538,61
68,1.3815515006363794,1.8888592939765387,1.1753941894685287,1.374357775099533,1.3294967658247538,61
69,1.4945996044510823,1.917612845221368,1.2225381811833453,1.3847789878610117,1.3294967658247538,61
70,1.4455634265298416,1.7676337693837116,1.2023158597181698,1.3295238882335705,1.3294967658247538,61
71,1.502858819981281,1.8001527530008472,1.2259114241988616,1.3416977129744416,1.3294967658247538,61
72,1.5056203515624362,1.774817969449406,1.2270372250108943,1.3322229428475574,1.3294967658247538,61
73,1.4593052339521166,1.7047115467568466,1.2080170669125982,1.3056460265925243,1.3056460265925243,73
74,1.4658503852471034,1.6574037704490567,1.21072308363519,1.2874019459551305,1.2874019459551305,74
75,1.5142590973672794,1.7656071177828063,1.2305523545819899,1.3287614977048388,1.2874019459551305,74
76,1.5358878869125752,1.7814369049898238,1.2393094395317803,1.3347048006918323,1.2874019459551305,74
77,1.4220580161632035,1.714015015966002,1.1925007405294152,1.309203962706347,1.2874019459551305,74
78,1.4649955482449692,1.7240496697112584,1.2103700046865706,1.3130307192565063,1.2874019459551305,74
79,1.4807250250646027,1.7022180120426555,1.21685045304039,1.304690772575117,1.2874019459551305,74
80,1.4233290053559755,1.6666453904952596,1.193033530692233,1.2909862084837542,1.2874019459551305,74
81,1.4940574787090963,1.68516810052457,1.222316439678816,1.29814024686263,1.2874019459551305,74
82,1.5266882623694413,1.7282373972413267,1.2355922718961305,1.3146244320114118,1.2874019459551305,74
83,1.3494513328843842,1.6993941584730186,1.1616588711340279,1.3036081307175935,1.2874019459551305,74
84,1.4054108272985386,1.632666523225952,1.1855002434831208,1.277758397830338,1.277758397830338,84
85,1.330250974364822,1.618613416739664,1.1533650655212435,1.2722473881834713,1.2722473881834713,85
86,1.3668233159585583,1.7208079544272024,1.1691121913480154,1.3117956984329542,1.2722473881834713,85
87,1.451031644765518,1.7913720526117147,1.2045877488857,1.338421477940232,1.2722473881834713,85
88,1.3614461377699483,1.6413461701921037,1.1668102406860972,1.281150330832453,1.2722473881834713,85
89,1.380487094870621,1.6825473597377476,1.1749413155007449,1.2971304328161248,1.2722473881834713,85
90,1.3281879181407898,1.6714168622065675,1.1524703545604935,1.2928328825515567,1.2722473881834713,85
91,1.2811674347829414,1.6412877770418934,1.1318866704679145,1.281127541286149,1.2722473881834713,85
92,1.3354941677150045,1.7020629014046695,1.1556358283278536,1.3046313277722061,1.2722473881834713,85
93,1.3265087604637096,1.7358707218552656,1.1517416205311457,1.317524467270064,1.2722473881834713,85
94,1.3173960175499952,1.6478677773864965,1.1477787319644825,1.2836930230341272,1.2722473881834713,85
95,1.3796986931329493,1.6727639989579246,1.1746057607269553,1.2933537795042487,1.2722473881834713,85
96,1.3676099902561476,1.6685509540686365,1.1694485838446032,1.2917240239573764,1.2722473881834713,85
97,1.3413715425124426,1.6592901974730037,1.1581759549016906,1.2881343864182042,1.2722473881834713,85
98,1.3617316519864877,1.6507653555982884,1.166932582451312,1.2848211375900882,1.2722473881834713,85
99,1.4294769634415743,1.6905289303841207,1.1956073617377798,1.3002034188480358,1.2722473881834713,85
100,1.3782937462612654,1.6852769827504677,1.1740075580085783,1.2981821839597352,1.2722473881834713,85
101,1.299454007334333,1.581129152080664,1.1399359663307116,1.2574295813605882,1.2574295813605882,101
102,1.2223667170878683,1.5827988858064816,1.1056069451156085,1.2580933533750513,1.2574295813605882,101
103,1.2153814392885356,1.6642226543967413,1.1024433950496213,1.2900475395878794,1.2574295813605882,101
104,1.3374784766667804,1.676381306164696,1.156494045236196,1.294751445708672,1.2574295813605882,101
105,1.2479526039939712,1.6617174086032787,1.1171179901845514,1.2890761841734872,1.2574295813605882,101
106,1.259376438545072,1.6486052030132177,1.1222194253108757,1.283980219089538,1.2574295813605882,101
107,1.2677901645229315,1.59991389893947,1.1259618841341528,1.2648770291769353,1.2574295813605882,101
108,1.365387518070727,1.6283770805896547,1.1684979752103668,1.2760787909018998,1.2574295813605882,101
109,1.2547635244815416,1.5887739743618297,1.120162275958953,1.2604657767515268,1.2574295813605882,101
110,1.2411181415836425,1.586844546229916,1.1140548198287383,1.2597001810867203,1.2574295813605882,101
111,1.3244631858516556,1.5870685705697416,1.1508532425342752,1.259789097654739,1.2574295813605882,101
112,1.2970810457015312,1.6307452863071208,1.1388946596158624,1.277006376768386,1.2574295813605882,101
113,1.2603577700005988,1.5758299235468456,1.1226565681456635,1.2553206457104278,1.2553206457104278,113
114,1.2423735108757712,1.5405315646900721,1.1146181009098008,1.2411815196376685,1.2411815196376685,114
115,1.2909246522784328,1.5424659553611098,1.1361886517116921,1.241960528906257,1.2411815196376685,114
116,1.179651050526733,1.5060457514209775,1.0861174202298447,1.2272105570850413,1.2272105570850413,116
117,1.2471572121786747,1.6067521198242862,1.1167619317377695,1.267577263847962,1.2272105570850413,116
118,1.150084427907619,1.4384243464976065,1.0724198934687939,1.1993432980167131,1.1993432980167131,118
119,1.1421228155946066,1.4950376182969203,1.0687014623338955,1.2227173092325634,1.1993432980167131,118
120,1.1385965777828977,1.5738086295498535,1.067050410141385,1.2545152966583761,1.1993432980167131,118
121,1.0675004340947856,1.5050349952178292,1.0331991260617603,1.2267986775416042,1.1993432980167131,118
122,1.0486157799187894,1.5826865313904819,1.0240194236042544,1.2580486999279805,1.1993432980167131,118
123,1.2786914388618835,1.5752682454473323,1.130792394235955,1.2550969067953806,1.1993432980167131,118
124,1.3128356306072622,1.5733984793611635,1.1457903955816973,1.2543518164219971,1.1993432980167131,118
125,1.2610805304492265,1.5697808893340353,1.1229784194049441,1.252908970888961,1.1993432980167131,118
126,1.2235336206906142,1.5154307260685027,1.106134540049543,1.2310283205793857,1.1993432980167131,118
127,1.1147834995081198,1.5447095403326117,1.0558330831661413,1.2428634439602009,1.1993432980167131,118
128,1.051486805089482,1.4662467408415314,1.0254203065521386,1.2108867580585443,1.1993432980167131,118
129,1.1015340785131889,1.4881930830735632,1.0495399365975497,1.2199151950334757,1.1993432980167131,118
130,1.1492976641250632,1.4616344746305259,1.0720530136728608,1.2089807585857295,1.1993432980167131,118
131,0.9727449320072336,1.4819086166393434,0.9862783238048141,1.2173366899257343,1.1993432980167131,118
132,1.1195230887861212,1.498062222817275,1.0580751810651836,1.2239535215102226,1.1993432980167131,118
133,1.085852900567381,1.419996543039865,1.0420426577484152,1.191636078272165,1.191636078272165,133
134,1.140316618305726,1.454769393850795,1.0678560850160128,1.2061382150693987,1.191636078272165,133
135,1.051438748264027,1.3730438674353342,1.0253968735392298,1.1717695453609187,1.1717695453609187,135
136,1.073847155923076,1.4223132938838114,1.0362659677530068,1.1926077703435491,1.1717695453609187,135
137,1.0906519148455427,1.3977757388954386,1.0443428148101286,1.1822756611279108,1.1717695453609187,135
138,1.0481155482849434,1.368151664116143,1.0237751453737014,1.1696801546218278,1.1696801546218278,138
139,0.9193915119255455,1.3396800379864793,0.9588490558610075,1.157445479487686,1.157445479487686,139
140,1.0665902151887925,1.3449647450022588,1.0327585464128546,1.1597261508659098,1.157445479487686,139
141,1.0303300247951608,1.3556237443358796,1.0150517350338162,1.1643125629898012,1.157445479487686,139
142,1.0415397713869314,1.3868971521565494,1.020558558529069,1.1776659764791328,1.157445479487686,139
143,1.0719917169190454,1.397452262213339,1.035370328394167,1.1821388506488308,1.157445479487686,139
144,1.006804510327443,1.3916344922507495,1.0033964871014065,1.179675587715008,1.157445479487686,139
145,0.9634848091289384,1.3257405427130047,0.981572620405102,1.151408069588278,1.151408069588278,145
146,0.975634908491081,1.4174942575158416,0.9877423289963233,1.190585678359958,1.151408069588278,145
147,1.0094606079607986,1.3459177019097328,1.004719168703772,1.1601369323962292,1.151408069588278,145
148,1.0183959659346615,1.3171501174634594,1.009156066193263,1.1476716069779975,1.1476716069779975,148
149,1.0197415280525042,1.3374421625416577,1.0098225230467501,1.156478345037925,1.1476716069779975,148
150,0.9895802316810132,1.2461270968206528,0.9947764732245195,1.1163006301264247,1.1163006301264247,150
151,0.9935294280801935,1.232587635404562,0.9967594635016983,1.110219633858347,1.110219633858347,151
